ts_no,bcovered,bnotcovered
0,864,851
1,857,858
2,845,870
3,798,917
4,872,843
5,801,914
6,812,903
7,818,897
8,713,1002
9,833,882
10,844,871
11,790,925
12,789,926
13,834,881
14,789,926
15,860,855
16,792,923
17,848,867
18,882,833
19,807,908
20,847,868
