fno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,2,1,1,0,0,0,1,3,3,1,1,2,5,2,1,3,0,1
73,3,6,1,1,1,2,1,1,2,1,2,3,4,5,3,2,2,4,4,5,3
74,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
75,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0
76,5,1,1,0,2,1,1,1,3,2,4,1,2,0,0,4,0,1,2,2,2
77,0,1,0,1,0,0,0,1,1,1,0,1,3,1,1,0,2,0,3,3,1
78,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,2,3,2,0,1,0,1,1,3,0,0,0,3,0,1,0,1,0,0,1,2
80,1,0,2,0,2,3,2,0,0,0,1,1,1,2,1,3,1,1,1,2,0
81,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,1
82,3,6,1,1,1,0,1,1,2,1,1,2,3,4,3,1,2,3,3,5,1
83,1,1,0,1,0,2,2,2,1,1,1,2,2,3,0,1,2,0,0,0,0
84,0,1,2,1,2,1,1,0,1,2,2,1,2,0,2,0,1,1,0,2,2
85,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
86,0,0,2,0,0,1,0,1,1,0,1,0,3,0,0,0,1,0,0,2,0
87,1,1,3,0,1,0,2,1,0,0,0,5,1,1,1,1,2,0,1,2,0
88,1,3,0,0,1,0,0,1,0,1,2,0,0,0,0,1,0,1,1,0,0
89,0,1,1,1,0,4,1,1,0,2,2,3,1,1,1,2,2,2,2,2,2
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
92,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
93,4,0,0,4,5,2,1,3,2,3,6,2,0,3,1,3,1,3,5,4,3
94,1,1,1,0,1,2,1,2,2,1,3,2,4,2,6,1,2,4,2,5,2
95,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,1,1,0,1,0,0,0,0,1,0,0,2,2,1,1,0,1,1,1,2,1
98,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,1,0,0,89,0,0,0,0,0,0,0,0
100,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,2
101,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
102,1,1,2,2,2,1,2,1,0,1,4,0,0,4,1,2,1,4,2,2,1
103,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
104,8,3,6,4,5,8,1,3,5,5,4,2,6,5,6,5,4,9,9,6,4
105,1,1,0,0,1,1,2,1,3,3,0,0,0,3,1,1,0,3,0,0,0
106,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,2,1,1,1,2,0,3,2,0,2,4,1,1,1,0,3,1,0,1,1,1
108,5,1,1,1,4,1,0,2,1,3,1,1,0,0,1,1,1,0,2,1,1
109,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
110,1,2,0,3,2,4,4,4,5,3,1,3,3,2,3,3,3,3,5,0,1
111,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
112,2,0,0,1,2,1,0,0,1,2,1,0,0,0,1,1,0,0,1,1,0
113,3,2,4,3,2,1,1,2,0,4,1,1,4,2,2,1,4,3,1,4,1
114,3,4,2,6,6,3,6,5,5,5,2,5,4,3,2,8,3,6,1,7,9
115,0,0,2,3,3,0,1,2,0,1,1,1,3,1,0,1,1,1,2,1,3
116,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
117,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
119,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,2,0,0,0,0,0
120,5,1,5,2,1,4,8,3,1,7,1,2,1,2,4,3,2,5,1,1,1
121,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
123,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,1,0,1,2,0,0,1,0,1,0,1,0,0,1,0,2,0,0,2,1,0
125,3,4,3,7,1,2,5,4,6,2,5,2,4,7,2,7,3,1,4,3,2
126,0,2,1,1,2,1,1,1,0,1,0,1,4,0,1,1,2,2,0,1,0
127,1,0,0,1,2,0,1,2,0,2,1,0,0,0,0,2,0,1,1,0,1
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,2,1,4,5,0,2,0,2,0,2,2,5,2,2,2,3,2,2,0,3,2
130,3,6,6,3,3,5,0,2,3,0,6,1,1,3,3,3,2,2,1,4,3
131,1,0,0,1,2,1,1,0,3,1,3,1,2,0,0,0,0,0,0,2,0
132,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
133,7,3,0,2,4,0,2,1,4,1,1,5,4,3,5,1,3,6,2,4,4
134,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
135,3,5,4,2,2,6,0,2,0,3,3,2,3,6,5,4,0,0,3,3,4
136,7,4,1,2,4,0,2,1,4,1,1,5,5,4,5,1,3,6,2,4,4
137,1,0,1,1,1,2,1,0,2,1,2,2,3,1,1,3,2,4,2,3,0
138,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,2,0,1,0,0,0
139,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0
140,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
141,6,4,3,4,4,3,7,5,3,2,4,3,4,2,3,10,7,5,5,2,6
142,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,1,1,1,0,0,2,0,0,0,1,1,3,1,0,0,0,1,1,0,1,1
146,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
