fno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
314,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,1,0,2,2,1,0,0,1,2,3,1,2,0,0,0,1,0,3,0,0,1
316,2,2,0,3,3,3,5,1,0,1,1,0,2,4,3,3,7,2,3,4,2
317,0,0,1,0,0,2,1,1,0,0,0,0,0,3,0,0,0,1,0,0,0
318,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
319,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,1
320,1,1,1,4,2,3,2,0,2,0,1,0,0,1,1,1,1,3,4,1,0
321,1,0,0,0,1,0,0,0,4,1,0,0,1,0,1,1,2,0,1,0,1
322,1,2,0,3,3,6,3,0,1,0,2,1,0,3,3,1,0,0,0,4,3
323,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
324,1,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,1,0,1,0,1
325,3,4,4,7,1,3,4,5,4,1,4,3,2,3,6,3,2,3,3,5,7
326,2,0,0,2,2,1,2,4,1,6,5,3,2,3,2,3,0,2,3,4,5
327,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
328,0,1,1,1,1,2,2,0,0,2,0,2,1,2,2,1,0,0,0,1,0
329,1,1,1,4,4,0,4,1,3,2,3,3,2,3,1,2,2,7,4,5,5
330,8,3,3,1,3,6,2,4,4,6,0,9,3,3,2,5,5,6,3,1,1
331,3,0,0,0,1,2,2,2,1,1,3,0,0,3,2,2,2,3,0,1,2
332,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
333,2,3,4,1,3,0,2,5,1,0,0,5,1,4,1,3,2,2,2,4,2
334,1,0,0,0,1,1,0,2,0,1,3,1,0,0,1,1,0,0,0,1,4
335,1,3,0,0,2,0,4,2,1,2,2,2,1,1,2,2,0,1,0,2,4
336,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
337,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,0,0,0,0,1,0,1,0,1,0,0,2,0,0,1,2,2,1,0,1,1
339,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0
340,1,1,0,0,2,3,1,0,0,1,1,0,6,1,1,1,1,4,0,0,1
341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,3,3,7,4,5,2,7,4,7,5,6,5,2,5,4,2,2,8,7,5,4
344,0,3,0,2,5,2,0,5,1,1,1,1,5,1,2,1,3,4,2,4,3
345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,2,4,2,7,3,1,3,0,1,6,3,2,1,1,3,1,2,3,1,4,2
347,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1
348,3,2,2,4,5,1,4,1,4,2,1,1,1,2,1,3,2,2,1,1,0
349,0,1,2,2,4,2,2,1,0,3,4,0,4,0,2,3,2,3,1,3,4
350,1,0,2,2,1,0,4,1,0,2,5,1,1,0,2,5,4,2,2,2,0
351,2,0,0,0,1,2,1,1,1,1,3,4,0,3,0,0,2,0,1,1,2
352,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
354,1,0,0,0,1,0,0,0,0,1,3,0,1,0,0,0,0,0,0,1,3
355,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
356,1,2,1,3,1,4,1,3,2,1,2,2,3,3,3,2,4,3,1,1,3
357,1,1,2,2,1,1,0,0,0,0,1,1,0,0,0,1,0,0,3,1,0
358,3,6,3,1,2,2,1,2,2,1,2,3,4,5,3,2,2,5,5,6,3
359,0,1,1,1,0,4,1,1,0,2,2,3,1,1,1,2,2,2,2,2,2
360,7,6,5,8,5,5,6,7,3,6,6,8,4,8,7,4,6,7,5,4,6
361,2,0,0,1,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,1,0
362,4,1,3,2,2,5,3,1,0,0,1,2,2,3,2,4,3,3,5,2,2
363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,0,0,0,0,0,0,1,0,0,1,1,0,1,0,3,0,0,1,0,0,1
365,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
366,0,1,1,4,1,0,3,0,0,2,0,1,0,1,0,0,0,0,0,1,0
367,1,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
368,1,1,1,2,1,0,3,0,1,0,1,0,0,1,0,2,0,0,3,1,1
369,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
370,1,1,1,0,1,6,1,0,0,1,1,1,1,1,2,1,1,1,3,1,0
371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,1,1,0
373,4,4,3,7,2,2,7,7,7,5,5,9,1,5,8,7,7,3,3,3,4
374,7,8,3,7,9,5,8,8,6,8,3,8,5,5,5,8,3,8,1,8,14
375,1,2,2,2,2,1,1,0,0,0,1,2,1,1,1,1,0,0,1,1,0
376,1,0,5,2,2,4,2,1,3,1,0,2,1,1,2,2,3,3,2,2,2
377,1,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
378,0,1,1,1,0,4,1,1,0,2,2,3,1,1,1,2,1,2,2,2,2
379,3,4,3,3,0,3,4,6,2,2,4,2,6,3,4,4,3,1,1,1,0
380,2,0,0,3,3,2,0,1,2,1,6,2,0,3,1,0,1,1,4,4,3
381,2,0,0,1,2,0,1,2,0,2,1,0,0,0,0,3,0,2,1,0,1
382,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0
383,0,3,2,3,0,4,3,1,0,2,0,0,3,1,3,1,2,1,2,3,3
384,3,2,3,3,1,4,2,0,4,1,2,1,3,3,2,1,1,3,5,1,2
385,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0
386,0,0,0,1,1,1,2,1,0,2,0,1,0,0,0,1,0,1,0,1,1
387,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
389,2,3,2,5,2,1,5,3,3,4,3,0,0,4,1,4,1,5,2,2,4
390,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
392,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
393,1,1,1,4,1,1,0,1,3,1,0,0,3,2,2,1,1,1,1,0,4
394,1,0,1,1,1,1,1,1,1,1,2,3,3,1,1,2,1,3,3,1,1
395,3,6,6,3,3,5,1,3,3,0,6,2,1,3,3,4,3,2,1,4,3
396,3,1,4,0,3,6,2,0,0,1,2,2,1,2,1,3,2,3,5,4,0
397,2,3,4,0,1,1,2,3,3,2,1,1,0,0,0,1,0,2,1,2,3
398,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
399,0,1,1,0,1,0,2,0,0,1,2,0,1,0,0,0,0,2,1,1,0
400,1,3,3,2,5,4,6,6,5,3,4,4,1,1,4,5,4,5,4,3,3
401,3,0,3,3,2,2,4,1,3,7,2,5,3,0,3,4,5,2,1,2,1
402,0,1,1,1,0,4,1,1,0,2,2,3,1,1,1,2,2,2,2,2,2
403,1,0,1,1,2,3,0,0,2,1,0,0,0,2,1,1,0,1,1,0,1
404,0,1,1,1,0,4,1,1,0,2,2,3,1,1,1,2,2,2,2,2,2
405,0,2,1,2,2,0,3,3,1,2,5,2,4,2,1,3,1,4,3,2,2
406,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
407,0,1,2,0,0,2,1,0,2,0,3,2,1,4,1,0,2,2,1,1,3
408,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
409,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
410,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
411,1,1,1,1,3,2,0,1,1,0,3,0,1,1,2,1,0,2,1,1,0
412,1,1,0,1,0,0,1,1,2,0,1,1,1,0,0,0,0,0,1,0,0
413,2,2,1,2,3,2,1,2,3,0,4,1,2,1,2,1,0,2,2,1,0
414,3,2,6,0,4,9,7,5,8,8,8,10,7,1,9,5,12,5,6,6,11
415,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
416,1,3,0,1,3,5,0,2,2,0,3,1,1,1,2,1,0,6,6,2,0
417,7,3,5,6,3,8,5,3,0,4,4,6,6,2,2,2,3,7,3,4,1
418,2,1,1,2,3,0,0,0,1,1,0,1,3,0,1,1,1,0,3,0,1
419,2,2,1,2,2,2,1,2,3,1,1,1,1,1,2,1,4,2,2,0,1
420,0,2,3,0,1,2,0,4,0,2,0,2,1,1,1,1,3,2,0,2,1
421,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
422,2,0,0,0,1,0,1,3,0,2,1,0,0,0,0,3,0,2,0,0,0
423,3,1,4,5,1,2,0,2,0,2,2,6,2,2,2,3,2,2,0,3,2
424,0,0,0,0,1,1,1,1,2,0,0,0,0,0,1,1,1,0,1,0,1
425,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
426,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
427,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0
428,3,3,1,0,4,3,2,2,0,0,1,2,2,1,1,1,3,4,0,2,0
429,1,0,4,0,2,1,2,2,3,3,2,2,1,5,2,1,3,3,4,2,2
430,0,2,1,0,0,0,0,0,1,0,0,2,0,2,0,0,1,0,1,1,0
431,1,2,0,1,3,0,0,4,1,1,1,2,3,0,3,1,1,4,3,2,1
432,2,5,0,3,6,1,3,3,2,3,0,3,2,1,1,4,1,4,3,3,4
433,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0
434,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
435,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1
436,4,1,5,2,1,4,8,3,1,7,1,2,0,2,4,2,2,5,1,1,1
437,1,0,2,2,2,2,1,3,3,1,3,2,1,0,5,0,1,4,0,2,1
438,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
439,2,2,3,5,4,3,2,5,3,2,6,4,4,1,4,2,3,3,3,4,2
440,2,2,1,3,2,4,0,1,1,3,0,1,2,3,1,5,2,0,4,0,0
441,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
442,1,4,3,2,4,1,2,2,1,3,3,2,4,3,3,3,1,3,0,6,2
443,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1
444,1,1,1,1,1,3,0,1,0,0,0,1,1,2,2,2,3,3,4,0,0
445,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0
446,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,2,0
447,1,1,0,2,1,2,1,0,1,1,1,0,0,0,1,0,1,0,3,3,0
448,1,1,4,0,2,2,2,1,2,1,1,1,2,1,2,2,2,0,2,2,2
449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
450,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0
451,3,1,1,0,1,0,2,2,1,0,3,1,2,1,0,1,2,2,1,0,0
452,5,1,5,2,1,4,8,3,1,7,1,2,1,3,4,3,2,5,1,1,1
453,1,2,0,0,1,1,2,0,1,0,0,1,0,3,1,0,3,1,0,0,3
454,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
455,2,1,2,6,3,1,0,2,1,3,3,3,0,3,0,0,1,1,2,1,5
456,1,0,1,2,2,1,2,4,1,2,1,1,2,1,1,4,0,3,1,3,1
457,1,0,0,0,2,2,0,0,0,0,1,0,0,1,1,1,1,2,1,2,1
458,0,1,0,1,1,2,0,0,1,0,0,0,0,1,1,1,1,2,3,2,1
459,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
460,2,0,2,2,1,2,2,1,1,2,2,3,3,2,1,0,2,1,1,3,3
461,1,0,0,0,1,0,0,0,4,1,0,0,1,0,1,0,2,0,1,0,1
462,4,6,6,8,8,3,4,8,5,5,12,7,4,10,6,6,4,3,6,5,4
463,7,8,6,8,2,7,4,9,4,11,5,2,7,4,5,14,10,6,9,5,7
464,0,0,3,2,1,0,3,3,1,4,1,0,1,2,2,1,1,0,1,1,2
465,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
466,1,4,2,3,3,0,3,1,1,3,2,1,2,3,0,2,0,2,1,1,0
467,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
468,5,5,4,3,7,0,5,2,5,3,8,4,4,10,2,5,6,1,9,3,7
469,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
471,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
472,6,6,9,7,4,11,3,4,7,5,7,8,5,8,4,5,8,10,8,4,6
473,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,0,0,1,1,0,3,0,0,0,0,1,1,1,0,1,1,0,1,1,1,2
476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
477,1,0,0,2,3,1,1,3,0,3,4,2,0,2,1,2,0,1,2,3,3
478,1,1,1,2,1,1,3,1,0,2,0,1,1,0,2,2,0,2,0,3,3
479,1,0,0,1,3,1,0,1,0,1,3,2,3,0,0,1,0,1,2,2,4
480,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
481,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482,1,2,1,0,0,0,0,1,0,0,0,2,1,0,1,0,1,1,2,1,0
483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
484,1,2,1,2,1,0,3,1,2,1,1,0,0,2,0,2,0,0,4,1,1
485,1,2,0,1,1,0,0,0,2,0,0,0,1,1,2,1,2,3,1,3,2
486,0,0,0,0,0,2,0,0,0,0,1,1,1,1,0,1,0,1,1,0,2
487,0,1,1,1,0,2,1,1,0,2,1,2,0,0,1,1,2,1,1,2,0
488,1,4,2,3,3,0,3,1,1,3,2,1,2,3,0,1,0,1,1,1,0
489,0,2,2,3,1,1,2,1,1,4,4,1,0,1,2,3,3,1,3,2,1
490,1,2,2,2,1,1,2,0,1,1,1,1,1,1,0,0,1,0,1,2,2
491,0,1,2,0,1,0,0,0,2,2,0,0,1,0,2,1,1,1,0,0,0
492,8,9,7,10,3,8,7,10,4,12,5,3,8,4,7,16,10,8,9,8,10
493,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
494,1,1,0,1,1,0,0,0,1,0,0,0,1,0,2,0,2,2,0,2,2
495,3,1,3,1,4,3,1,0,4,5,6,2,4,3,0,0,0,3,5,3,6
496,1,1,3,0,1,0,2,1,0,0,0,5,1,1,1,1,2,0,1,2,0
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
498,1,3,0,1,4,0,4,1,3,2,2,2,1,2,0,2,1,2,1,2,2
499,5,3,2,3,2,4,5,4,1,5,4,4,1,4,3,4,2,7,0,3,4
500,2,6,2,1,5,5,2,3,4,5,1,2,9,6,1,1,3,4,4,2,4
501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
502,2,1,1,0,0,0,1,0,0,1,1,0,0,1,3,0,0,1,1,0,0
503,6,5,8,13,3,3,7,1,6,6,9,7,2,4,4,1,4,8,4,7,8
504,0,1,2,2,0,4,0,1,0,0,2,2,1,1,0,1,0,4,0,0,2
505,0,0,2,2,3,3,1,7,1,2,1,2,1,1,2,4,0,4,1,0,4
506,5,4,5,8,6,8,9,4,2,5,7,7,7,6,8,8,4,8,5,5,4
507,5,7,4,1,2,2,2,2,2,2,3,3,4,6,6,2,2,6,6,6,3
508,10,1,3,6,3,7,6,4,1,9,2,5,1,0,4,4,3,2,4,7,5
509,1,1,2,0,1,0,1,1,2,1,1,1,0,2,2,1,2,0,0,1,1
510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
511,1,0,0,1,1,0,1,1,0,1,0,0,0,0,2,0,0,2,0,0,1
512,0,2,1,2,1,1,0,0,0,1,2,2,1,2,1,1,0,0,0,1,3
513,1,2,2,2,7,5,0,4,3,4,7,6,3,3,1,2,7,3,5,2,7
514,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
515,3,1,0,1,1,0,0,1,0,1,1,3,1,2,0,2,1,1,1,1,1
516,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
517,0,1,0,0,0,1,1,1,0,2,0,2,0,0,0,1,2,1,1,1,0
518,3,1,4,1,2,3,3,2,2,4,0,0,3,0,3,2,1,2,2,0,3
519,0,0,2,1,3,0,2,1,2,2,1,0,0,3,0,1,1,0,1,1,1
520,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521,2,1,1,3,1,0,2,1,5,1,2,2,2,3,1,6,2,2,3,3,4
522,2,2,3,2,3,6,2,2,0,2,4,2,3,2,2,3,2,4,5,2,1
523,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,1,1,2,0,0,3,0,1,0,1,1,4,2,1,2,0,1,4,2,2,2
526,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
527,6,3,5,5,0,3,2,5,5,4,3,5,2,1,4,4,5,5,4,1,6
528,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,2,0,1,0,0,0
529,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,1,1,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
531,3,6,6,3,3,5,1,4,3,0,6,2,1,3,3,4,3,2,1,4,3
532,2,1,2,0,0,3,0,0,0,0,1,0,1,2,0,0,0,0,2,0,0
533,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
534,1,1,1,0,1,6,1,0,0,1,1,1,1,1,2,1,1,2,3,1,0
535,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0
536,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
537,6,7,5,9,15,3,11,3,5,10,8,5,8,10,3,9,9,0,6,6,8
538,0,1,1,0,1,0,1,1,2,1,0,0,0,1,2,0,1,0,0,1,1
539,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
540,1,1,3,1,2,2,3,0,1,1,1,1,0,3,2,4,3,3,3,4,1
541,3,6,5,2,2,6,0,2,0,3,3,2,4,7,5,4,0,0,3,3,4
542,3,5,3,0,2,2,1,1,1,0,2,2,1,4,2,2,0,5,2,3,2
543,2,0,2,2,2,3,2,2,0,1,3,3,2,0,0,1,0,3,1,2,1
544,4,2,6,0,3,6,4,1,0,1,2,3,2,4,2,4,1,1,4,3,1
545,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
546,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
547,0,1,2,1,1,0,3,3,0,0,1,1,0,1,1,1,1,1,0,0,0
548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
549,1,1,3,2,4,1,1,2,5,3,2,4,3,3,0,4,0,3,4,3,0
550,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
551,6,2,4,1,2,1,1,1,4,2,4,3,3,3,1,3,4,4,4,0,4
552,3,0,1,1,3,7,2,3,4,5,4,4,3,4,2,3,5,4,2,4,1
553,1,2,0,2,2,3,2,1,0,1,2,1,4,2,4,4,5,2,1,3,1
554,4,6,2,3,4,2,5,3,2,4,3,4,5,5,4,3,0,1,2,2,5
555,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
556,4,8,4,4,4,3,2,1,2,2,0,3,2,2,2,3,2,2,6,1,4
557,1,1,0,0,1,0,0,3,0,0,0,2,1,0,2,1,1,0,3,2,2
558,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559,0,1,3,0,1,1,0,0,0,1,1,0,2,1,1,3,0,0,1,1,2
560,2,0,1,1,3,1,1,5,2,1,2,1,4,1,2,1,1,2,2,1,1
561,1,7,7,7,7,5,6,4,4,8,8,3,5,3,8,4,3,6,4,5,4
562,1,4,1,3,2,1,2,1,2,1,0,2,3,1,1,3,1,3,1,3,3
563,1,2,2,2,0,3,2,2,2,1,4,1,1,2,4,1,1,2,0,4,4
564,1,3,2,2,1,2,3,6,2,0,3,4,8,2,1,4,7,4,3,1,0
565,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,1
566,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0
567,4,1,5,2,1,4,8,3,1,7,1,2,0,2,4,2,2,5,1,1,1
568,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
569,2,2,1,2,3,2,4,3,1,0,0,1,0,3,0,0,2,4,3,2,3
570,3,2,2,7,3,2,3,2,5,0,2,5,2,3,1,4,2,1,0,4,2
571,2,1,2,5,2,2,1,2,4,2,2,3,6,3,3,3,2,4,4,1,5
572,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
573,1,1,0,1,1,0,0,0,1,0,0,0,1,1,2,1,2,3,1,2,2
574,2,1,2,5,1,1,1,2,4,2,1,2,6,3,3,2,2,4,4,1,5
575,0,0,1,0,0,2,1,1,0,1,0,0,2,2,0,1,1,1,0,1,0
576,4,1,0,2,1,2,0,2,1,2,2,2,1,3,1,2,1,4,1,1,3
577,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578,2,0,1,0,1,4,2,1,1,0,1,2,1,1,2,1,0,2,1,2,0
579,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
580,1,1,1,0,0,2,0,0,0,0,0,0,0,1,1,1,0,1,3,0,0
581,4,4,0,2,2,0,3,0,0,3,1,1,3,1,1,0,1,3,0,1,3
582,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1
583,3,3,0,2,1,0,2,0,0,2,0,1,2,0,1,0,1,3,0,1,2
584,3,1,1,1,1,3,3,2,0,0,2,3,0,3,0,4,1,0,1,1,2
585,2,4,3,4,0,2,2,4,1,5,0,0,2,0,0,1,3,2,2,2,4
586,0,1,1,2,0,0,0,2,2,0,1,0,2,1,0,0,0,2,0,1,0
587,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
588,4,3,5,6,2,2,6,5,2,1,3,2,0,2,4,1,0,3,3,5,6
589,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0
590,5,1,3,7,1,0,5,4,3,3,1,3,0,1,4,5,5,1,3,4,4
591,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
592,1,2,2,1,3,3,3,1,5,5,0,3,0,3,1,2,3,6,2,3,0
593,3,5,3,1,5,4,0,2,3,5,2,2,3,6,4,1,3,3,2,3,4
594,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
595,0,0,1,0,0,0,0,0,0,1,0,2,1,1,3,0,1,2,2,2,1
596,2,3,2,0,3,2,1,1,3,2,2,3,1,3,3,1,7,2,3,3,6
597,3,4,2,3,5,1,3,0,6,3,2,3,2,1,1,1,1,2,1,3,2
598,134,143,126,124,141,133,131,112,127,131,113,116,129,130,135,134,124,134,129,115,130
599,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0
600,0,2,0,0,1,1,0,0,0,3,3,0,0,1,0,2,0,0,1,2,1
601,2,4,2,4,3,4,3,3,3,1,7,4,3,5,2,0,5,3,3,5,2
602,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0
603,5,3,4,2,2,3,5,7,2,5,1,4,8,5,2,2,3,6,2,0,4
604,1,4,4,4,3,3,3,2,1,3,2,3,4,3,6,6,7,2,3,6,1
605,5,3,3,10,2,6,4,8,4,5,10,3,5,4,6,6,8,4,5,1,6
606,4,4,1,1,3,2,2,3,1,3,1,3,1,2,3,0,0,2,0,1,5
607,7,3,7,2,5,5,1,7,3,3,4,2,3,1,2,1,3,3,2,2,3
608,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,1,1,1,0,0,1
609,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
610,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0
611,0,3,2,1,1,1,0,0,3,2,1,0,0,2,2,0,1,0,1,0,0
612,3,2,7,5,4,10,8,7,9,6,2,5,7,5,1,2,3,8,5,3,6
613,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
614,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
615,0,3,0,1,2,3,0,2,1,0,2,1,1,1,2,1,0,5,5,3,0
616,2,1,2,3,2,4,3,0,7,3,2,2,1,0,3,0,1,4,2,1,2
617,2,0,0,1,1,0,0,1,1,1,2,1,1,3,0,0,0,1,0,1,0
618,5,2,3,1,1,3,6,3,0,6,2,2,1,3,3,5,1,6,1,0,1
619,5,4,1,3,1,3,1,3,2,4,4,3,3,0,4,1,3,3,2,4,1
620,5,7,3,1,2,2,2,2,2,2,3,3,4,6,6,2,2,5,5,6,3
621,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
622,1,2,1,2,1,6,0,1,1,1,3,1,0,2,0,2,0,4,0,0,2
623,2,2,0,5,1,4,1,2,3,3,4,3,2,5,2,2,3,3,1,3,2
624,3,3,6,7,3,3,6,5,5,0,3,3,3,2,6,3,2,2,4,7,8
625,2,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,2,0,1
626,0,1,0,0,0,0,0,1,0,0,2,1,1,1,1,1,0,0,0,0,0
627,0,2,2,3,1,2,2,2,2,0,5,2,2,0,1,1,2,1,1,3,3
628,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0
629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
