ts_no,fcovered,fnotcovered
0,6,31
1,7,30
2,7,30
3,7,30
4,5,32
5,6,31
6,6,31
7,6,31
8,7,30
9,8,29
10,6,31
11,7,30
12,7,30
13,7,30
14,16,21
15,23,14
16,22,15
17,20,17
18,21,16
19,22,15
20,19,18
