ts_no,fcovered,fnotcovered
0,17,20
1,18,19
2,19,18
3,20,17
4,23,14
5,19,18
6,19,18
7,21,16
8,16,21
9,21,16
10,23,14
11,19,18
12,18,19
13,21,16
14,20,17
15,22,15
16,19,18
17,22,15
18,19,18
19,19,18
20,21,16
